event_id,jurisdiction,date,date_precision,event,instrument_type,status,affects_model,model_parameter,quantified_effect,why_it_matters,source_url
UK-14,uk,2026-01-20,day,The international shipping consultation closes without a final legislative decision,consultation,pending,yes,UK_ETS_INTL_EXPANSION_PROPOSED,,Why the expansion must be labelled NOT LAW wherever it appears,
UK-15,uk,2026-07-01,day,"United Kingdom carbon market begins covering shipping, but only voyages between two UK ports and emissions while a vessel sits in a UK port",regulation,in_force,yes,UK_ETS_INTL_VOYAGE_COVERAGE,0% of the international voyage; 100% of at-berth and UK-UK,This is the current baseline in the model. The long voyage from China is not covered,
UK-16,uk,2027-01,month,"United Kingdom carbon border charge takes effect for aluminium, cement, fertilisers, hydrogen, and iron and steel. It counts only direct process emissions, with indirect emissions from electricity delayed until at least 2029",primary_legislation,in_force,yes,UK_CBAM_START_YEAR,Direct emissions only from 2027; indirect emissions from 2029 at the earliest,"Ends the period in which goods landing at Felixstowe face no carbon border cost. NOT YET IMPLEMENTED: the model applies the full embedded emissions figure on the UK corridor in 2027 and 2028, which overstates UK CBAM liability. Needs a direct/indirect split in the emissions table",
EU-01,eu,2021/2023,period,"The carbon border charge is negotiated as part of the wider climate package. The final timetable for withdrawing free permits is slower than the Commission originally wanted, after sustained industry lobbying",procedural,in_force,no,cbam_factor,,"The schedule this study treats as fixed was itself a political compromise, and has been softened once already",
EU-02,eu,2023-10-01,day,The carbon border regulation formally enters into force,regulation,in_force,yes,,,,
EU-03,eu,2023-09-01,day,"FuelEU Maritime adopted, requiring ships entering European ports to meet greenhouse gas intensity targets with penalties for exceeding them",regulation,in_force,yes,FUELEU_APPLIES_TO,,"One of the six cost components, and it applies only to the Hamburg route",
EU-04,eu,2023-10/2025-12,period,Transitional period in which importers report embedded emissions but pay nothing,regulation,superseded,no,,,,
EU-05,eu,2024-01-01,day,Shipping begins to be phased into the European carbon market,regulation,superseded,yes,,,,
EU-06,eu,2025-10-20,day,"A simplification package amends the carbon border regulation, easing administrative requirements before the payment phase",regulation,in_force,no,,,"The first amendment, showing the rules can and do change",
EU-07,eu,2025-12-10,day,Detailed rules published on how the price of carbon border certificates is calculated,implementing_regulation,in_force,yes,CBAM_CERT_PRICE_AVERAGING,"Quarterly averaging in 2026, weekly from 2027",Implementing Regulation (EU) 2025/2548,
EU-08,eu,2025-12,month,Detailed rules published setting the default emissions values applied where an importer does not report verified actual emissions,implementing_regulation,in_force,yes,cbam_default,,Implementing Regulation (EU) 2025/2621. These defaults are the primary emissions input to the model,
EU-09,eu,2025-12-17,day,"Commission proposes extending the carbon border charge from 2028 to roughly 180 further products containing large amounts of steel and aluminium, plus anti-avoidance measures",proposal,proposed,no,,~180 downstream products from 2028,"Direction of travel reverses from simplification back to expansion. Does not touch hydrogen or ammonia, which are already in scope",https://www.tradecomplianceresourcehub.com/2025/12/19/commission-proposes-expansion-of-eu-cbam-to-downstream-goods-and-addresses-potential-cbam-abusive-practices/
EU-10,eu,2026-01-01,day,The carbon border charge enters its definitive phase. Importers must buy and surrender certificates,regulation,in_force,yes,cbam_factor,2.5% (2026) rising to 48.5% (2030) and 100% (2034),The baseline year of the study,https://www.europarl.europa.eu/legislative-train/theme-a-european-green-deal/file-carbon-border-adjustment-mechanism
EU-11,eu,2026-01-01,day,Shipping fully covered by the European carbon market. Voyages between two European ports charged in full; voyages to or from a non-European port charged at half,regulation,in_force,yes,EU_ETS_CORRIDOR_COVERAGE,"100% intra-EEA, 50% extra-EEA",The Halifax to Hamburg voyage falls into the 50% category,
EU-12,eu,2026-06,month,Member states agree their negotiating position on the downstream expansion and require the Commission to review annually whether further products should be added,procedural,proposed,no,,,The proposal still has to pass the full legislative process,
EU-13,eu,2026-06-26,day,Commission Implementing Regulation (EU) 2026/1412 sets revised EU ETS free allocation benchmarks for 2026-2030,implementing_regulation,in_force,yes,EU_ETS_PRODUCT_BENCHMARK_TCO2E_PER_TONNE,Ammonia 1.570 to 1.522; hydrogen 6.84 to 7.98,"Added by Samir 6 Aug 2026, not in Alex's original timeline. Only bites if the benchmark CBAM mechanism is selected",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32026R1412
EU-14,eu,2030,year,The share of embedded emissions generating a charge reaches 48.5%,regulation,in_force,yes,cbam_factor,48.5%,"The projection year of the study, sitting just after the steepest single increase",
EU-15,eu,2034,year,Free permits reach zero and the full 100% of embedded emissions generates a charge,regulation,in_force,yes,cbam_factor,100%,The year the two CBAM mechanisms converge,
CN-01,china,1986,year,Hydrogen first appears in China's national high technology research plan,plan,historic,no,,,"The longest policy history of the four jurisdictions, which makes the slow real-world progress more striking",
CN-02,china,2016/2020,period,"The national five-year plan names hydrogen a strategic industry, focused on fuel cell vehicles",plan,superseded,no,,,"Attention is on using hydrogen, not on producing it cleanly",
CN-03,china,2021,year,The national planning commission repeats the fuel cell priority. Five city clusters are selected for demonstration projects with rewards up to CNY 1.7 billion,plan,in_force,no,,CNY 1.7 billion in cluster rewards,,
CN-04,china,2022,year,The National Hydrogen Development Plan is published,plan,in_force,no,,,,
CN-05,china,2024,year,"China produces and consumes more than 36.5 million tonnes of hydrogen, overwhelmingly from coal",market_event,in_force,yes,cbam_default,36.5 Mt annual production,"Enormous scale, overwhelmingly coal-based, which is what keeps the Chinese embedded emissions figure high",https://www.sciencedirect.com/science/article/pii/S2667143326000016
CN-06,china,2025,year,The national energy authority asks regional governments to steadily develop renewable hydrogen but stops short of a large subsidy programme beyond pilots,plan,in_force,no,,,Ambition stated without the funding to accelerate it,
CN-07,china,2026-06-11,day,The State Council and the environment ministry approve a set of five-year environmental plans,plan,in_force,no,,,,
CN-08,china,2026-06-25,day,"The five-year plan for the energy system covering 2026-2030 targets non-fossil fuels at 25% of energy use by 2030 and wind and solar above half of installed capacity, while also calling for coal to be strengthened as guaranteed baseline supply",plan,in_force,sensitivity_only,,Non-fossil 25% of energy use by 2030; wind and solar above 50% of installed capacity,"Both the accelerating and the slowing signal appear in one document, which is the honest basis for treating China's direction as uncertain",https://china-insights.org/2026/07/chinas-15th-five-year-plan-for-a-new-energy-system/
CN-09,china,2026/2028,period,China launches an efficiency and emissions reduction campaign across nine heavy industries including synthetic ammonia. Capacity failing to meet efficiency standards is to be closed after 2028,regulation,in_force,sensitivity_only,cbam_default,Sub-standard ammonia capacity closed after 2028,"Directly relevant, since ammonia is one of the two modelled products. Would lower the Chinese ammonia emissions intensity from 2029, which the model does not currently represent",
CN-10,china,ongoing,period,Hydrogen from coal costs roughly half as much as hydrogen from renewable electricity. Green hydrogen is about 1.4% of national supply. Industry projections suggest cost parity with coal plus carbon capture around 2030,market_event,in_force,yes,production_cost_eur_per_tonne,Green hydrogen about 1.4% of national supply; parity with coal plus CCS around 2030,"The economics, not the policy, are what keep Chinese hydrogen emissions high. This is what the stable scenario assumes continues",https://www.csis.org/analysis/chinas-hydrogen-industrial-strategy
